distance_km,items,traffic_level,preparation_minutes,delivery_minutes
29.1,5.0,4.0,38.0,121.2
1.9,10.0,5.0,44.0,80.6
26.1,3.0,5.0,32.0,112.7
24.5,5.0,1.0,26.0,82.8
11.9,6.0,5.0,30.0,92.6
17.2,7.0,1.0,56.0,78.3
18.5,5.0,4.0,26.0,104.2
14.0,2.0,3.0,45.0,81.7
22.8,1.0,2.0,15.0,79.6
14.9,10.0,4.0,12.0,91.6
2.8,6.0,2.0,47.0,58.5
11.6,10.0,3.0,19.0,80.1
39.0,1.0,5.0,9.0,132.0
22.8,7.0,2.0,50.0,94.5
30.3,6.0,1.0,13.0,86.2
24.9,9.0,4.0,53.0,124.6
27.1,4.0,3.0,19.0,93.6
12.9,9.0,4.0,21.0,95.9
17.2,10.0,5.0,21.0,102.7
13.5,8.0,3.0,42.0,85.6
25.0,4.0,2.0,5.0,88.8
17.8,4.0,5.0,20.0,101.2
23.7,2.0,3.0,48.0,103.0
12.1,9.0,1.0,17.0,56.7
23.5,-2.0,5.0,51.0,113.2
9.1,7.0,4.0,54.0,83.8
2.5,1.0,2.0,49.0,49.2
32.6,10.0,4.0,39.0,130.2
22.1,4.0,1.0,31.0,76.9
21.9,,3.0,41.0,107.3
12.7,4.0,2.0,49.0,72.5
35.2,4.0,1.0,36.0,107.9
19.5,5.0,3.0,7.0,85.0
38.8,8.0,4.0,34.0,142.3
32.7,2.0,,42.0,115.0
5.7,2.0,5.0,7.0,70.4
21.4,5.0,5.0,10.0,99.4
9.6,4.0,5.0,57.0,84.7
28.2,10.0,2.0,34.0,113.6
17.8,8.0,1.0,20.0,70.8
6.3,4.0,2.0,17.0,48.1
10.9,6.0,4.0,48.0,87.0
26.3,4.0,1.0,52.0,90.0
10.7,9.0,2.0,10.0,62.2
27.4,8.0,3.0,13.0,107.4
27.3,2.0,5.0,50.0,133.7
7.2,8.0,5.0,43.0,89.8
11.7,9.0,3.0,53.0,91.8
17.2,4.0,1.0,27.0,69.3
9.1,5.0,3.0,51.0,67.7
22.8,9.0,5.0,58.0,127.0
22.7,4.0,3.0,60.0,108.7
20.9,4.0,4.0,20.0,105.6
30.6,3.0,5.0,14.0,121.0
39.5,8.0,2.0,16.0,121.1
24.9,2.0,3.0,34.0,94.5
14.1,10.0,5.0,31.0,107.9
37.1,9.0,3.0,24.0,125.3
15.3,3.0,2.0,59.0,77.0
25.4,1.0,3.0,56.0,109.4
10.2,3.0,1.0,14.0,43.8
36.0,8.0,5.0,21.0,142.5
8.6,8.0,3.0,50.0,71.6
25.3,5.0,4.0,17.0,111.6
4.0,3.0,3.0,31.0,60.1
26.0,8.0,3.0,21.0,101.8
14.4,7.0,4.0,31.0,97.4
3.6,4.0,2.0,32.0,43.6
13.7,8.0,1.0,47.0,76.0
19.5,3.0,5.0,46.0,105.0
39.0,5.0,2.0,33.0,127.1
6.5,8.0,5.0,53.0,86.0
35.3,2.0,5.0,32.0,137.3
34.0,4.0,3.0,9.0,115.3
31.6,3.0,1.0,57.0,107.5
39.3,8.0,2.0,27.0,117.3
6.0,8.0,3.0,15.0,62.9
36.5,9.0,4.0,43.0,144.1
28.8,2.0,1.0,19.0,81.9
35.1,3.0,3.0,37.0,130.2
4.5,9.0,3.0,47.0,70.8
19.6,9.0,5.0,45.0,118.2
24.3,9.0,3.0,20.0,99.6
6.5,10.0,4.0,42.0,80.3
23.0,7.0,1.0,31.0,80.7
35.6,4.0,1.0,20.0,107.3
28.2,1.0,4.0,43.0,110.9
26.8,2.0,3.0,53.0,99.0
29.7,9.0,4.0,10.0,121.0
24.9,10.0,1.0,26.0,94.3
1.2,10.0,1.0,52.0,57.0
,6.0,1.0,60.0,83.0
31.1,8.0,1.0,22.0,92.8
39.5,5.0,3.0,21.0,120.5
18.9,7.0,2.0,46.0,86.4
4.4,7.0,3.0,59.0,72.0
7.3,4.0,3.0,15.0,67.8
6.2,8.0,5.0,13.0,78.9
25.9,10.0,2.0,23.0,98.1
1.3,7.0,4.0,53.0,63.5
9.9,9.0,3.0,56.0,73.8
14.5,5.0,4.0,50.0,107.6
21.2,6.0,3.0,18.0,83.5
32.3,2.0,5.0,17.0,114.9
32.5,1.0,3.0,39.0,111.2
11.7,6.0,5.0,33.0,80.4
22.7,5.0,1.0,45.0,78.1
23.1,2.0,2.0,44.0,86.7
13.6,7.0,2.0,12.0,61.9
5.8,9.0,2.0,24.0,49.5
36.0,8.0,1.0,39.0,106.2
24.2,8.0,1.0,46.0,91.9
21.0,1.0,5.0,40.0,106.9
10.9,9.0,4.0,49.0,92.9
21.5,2.0,1.0,37.0,78.3
29.3,8.0,4.0,39.0,128.7
3.7,5.0,5.0,53.0,84.5
38.1,4.0,1.0,25.0,106.3
32.4,10.0,1.0,39.0,111.1
9.0,10.0,4.0,16.0,80.2
38.9,5.0,1.0,54.0,119.7
5.0,6.0,2.0,54.0,58.3
12.8,6.0,3.0,57.0,92.3
37.6,8.0,5.0,26.0,156.4
35.7,5.0,1.0,10.0,102.6
26.1,6.0,4.0,56.0,122.4
2.1,6.0,5.0,22.0,77.8
34.8,6.0,3.0,59.0,136.7
13.6,8.0,1.0,59.0,76.7
8.3,2.0,3.0,9.0,53.5
19.4,5.0,1.0,40.0,77.6
34.3,8.0,4.0,36.0,142.5
38.4,1.0,2.0,,112.9
33.7,6.0,5.0,58.0,133.0
5.3,4.0,5.0,34.0,81.6
26.0,1.0,1.0,35.0,80.0
7.2,10.0,4.0,8.0,76.3
37.7,9.0,1.0,37.0,119.9
3.6,8.0,3.0,15.0,56.2
1.4,3.0,3.0,37.0,52.7
32.0,2.0,4.0,59.0,130.8
25.1,6.0,1.0,43.0,93.0
23.1,3.0,4.0,34.0,107.2
19.0,8.0,3.0,16.0,91.3
26.4,10.0,1.0,42.0,100.7
31.3,2.0,3.0,21.0,110.8
8.5,6.0,3.0,51.0,67.5
16.3,9.0,4.0,39.0,91.0
-10.0,7.0,3.0,13.0,134.9
11.5,4.0,3.0,34.0,76.1
25.9,10.0,4.0,11.0,110.5
10.6,5.0,1.0,52.0,55.0
23.5,2.0,5.0,40.0,108.1
21.8,7.0,2.0,55.0,95.5
24.9,2.0,4.0,10.0,93.7
21.4,2.0,2.0,39.0,81.4
15.4,7.0,3.0,41.0,85.8
38.1,1.0,4.0,46.0,134.0
21.5,6.0,3.0,36.0,97.1
21.7,6.0,3.0,54.0,104.7
27.4,6.0,3.0,22.0,110.2
11.2,9.0,1.0,25.0,53.5
15.8,7.0,2.0,47.0,82.8
28.8,7.0,4.0,57.0,129.4
23.2,8.0,,21.0,105.8
17.5,3.0,1.0,19.0,73.2
27.2,6.0,2.0,15.0,97.1
31.1,4.0,4.0,59.0,138.5
23.2,4.0,2.0,21.0,75.3
6.1,9.0,5.0,52.0,92.0
1.2,3.0,5.0,47.0,63.0
38.8,2.0,1.0,40.0,111.0
33.4,6.0,2.0,20.0,110.5
17.8,4.0,2.0,42.0,75.4
7.8,5.0,2.0,15.0,54.5
31.5,2.0,3.0,58.0,118.8
29.4,1.0,4.0,50.0,116.4
38.2,5.0,5.0,7.0,138.2
4.9,2.0,2.0,5.0,37.1
30.8,1.0,1.0,59.0,113.2
8.7,8.0,1.0,60.0,61.1
38.7,7.0,3.0,11.0,132.0
24.2,9.0,1.0,54.0,98.9
4.4,3.0,2.0,29.0,42.4
17.5,5.0,4.0,25.0,96.1
28.5,10.0,4.0,58.0,132.1
14.4,5.0,4.0,22.0,84.6
9.2,2.0,2.0,58.0,65.6
7.5,7.0,5.0,48.0,92.3
10.9,6.0,3.0,52.0,71.1
38.3,5.0,4.0,53.0,141.7
6.1,9.0,5.0,40.0,86.1
35.3,8.0,4.0,30.0,137.4
36.8,10.0,5.0,22.0,144.8
38.1,9.0,1.0,53.0,128.4
13.4,10.0,2.0,59.0,85.5
15.2,3.0,1.0,7.0,64.1
39.4,3.0,2.0,21.0,115.1
30.0,5.0,3.0,26.0,101.8
28.5,6.0,5.0,54.0,131.0
21.3,1.0,4.0,12.0,81.6
2.1,4.0,3.0,57.0,58.0
30.7,7.0,5.0,11.0,125.1
39.2,5.0,5.0,46.0,153.8
25.6,5.0,2.0,48.0,104.5
8.8,2.0,3.0,53.0,72.7
36.7,9.0,4.0,53.0,154.7
20.5,6.0,1.0,14.0,63.3
11.2,5.0,2.0,60.0,74.5
37.3,8.0,3.0,33.0,127.4
11.1,1.0,3.0,51.0,74.0
9.8,6.0,1.0,44.0,58.6
32.6,3.0,3.0,55.0,114.3
31.7,6.0,5.0,39.0,140.6
18.4,1.0,5.0,54.0,107.5
18.3,5.0,5.0,52.0,111.7
24.8,6.0,1.0,9.0,74.8
11.2,10.0,4.0,40.0,87.7
26.8,3.0,3.0,46.0,107.2
27.0,10.0,4.0,51.0,119.9
28.2,6.0,3.0,32.0,107.0
28.7,3.0,5.0,20.0,125.5
12.1,9.0,1.0,9.0,58.0
11.2,3.0,4.0,19.0,78.7
21.1,7.0,3.0,19.0,87.2
29.4,3.0,4.0,5.0,106.5
39.6,3.0,5.0,59.0,149.4
32.5,6.0,2.0,12.0,106.0
21.1,7.0,5.0,26.0,108.6
35.3,8.0,4.0,25.0,129.6
5.9,2.0,2.0,14.0,52.2
21.2,6.0,3.0,32.0,93.1
14.8,5.0,4.0,44.0,88.5
16.4,2.0,1.0,50.0,56.0
13.7,3.0,1.0,36.0,51.5
22.7,2.0,5.0,39.0,108.2
38.4,6.0,2.0,22.0,124.0
35.8,6.0,2.0,57.0,129.7
11.3,9.0,4.0,18.0,84.0
35.1,8.0,3.0,58.0,133.1
14.7,1.0,1.0,36.0,60.5
5.4,1.0,2.0,14.0,46.1
1.8,7.0,2.0,51.0,57.7
16.9,3.0,3.0,34.0,83.3
12.2,7.0,2.0,54.0,81.2
39.7,2.0,3.0,43.0,123.6
26.2,5.0,1.0,44.0,94.8
36.9,1.0,,31.0,142.7
1.6,1.0,3.0,25.0,43.8
29.8,4.0,4.0,40.0,122.4
12.6,7.0,3.0,25.0,73.2
7.1,7.0,2.0,57.0,68.4
21.1,5.0,3.0,12.0,88.2
32.2,-2.0,5.0,34.0,136.1
21.3,10.0,4.0,40.0,111.0
31.2,2.0,3.0,36.0,111.9
31.0,8.0,1.0,49.0,100.0
12.1,6.0,2.0,8.0,62.9
14.8,8.0,1.0,20.0,63.2
27.9,1.0,2.0,5.0,88.6
18.4,3.0,5.0,35.0,101.9
34.6,3.0,5.0,55.0,148.8
28.6,5.0,3.0,15.0,106.0
14.3,10.0,2.0,48.0,81.3
28.8,1.0,5.0,20.0,114.5
17.6,6.0,2.0,36.0,86.0
2.6,3.0,4.0,27.0,58.8
39.0,8.0,1.0,56.0,121.0
23.7,8.0,1.0,41.0,91.1
3.6,6.0,1.0,53.0,59.3
26.9,8.0,1.0,45.0,100.4
,3.0,5.0,26.0,124.1
30.4,8.0,3.0,7.0,121.3
29.6,,5.0,7.0,123.4
13.8,3.0,3.0,22.0,73.8
33.1,1.0,2.0,6.0,91.7
29.8,4.0,4.0,40.0,122.4
37.8,8.0,3.0,60.0,141.3
6.5,9.0,5.0,49.0,96.5
31.9,10.0,2.0,48.0,113.9
30.5,3.0,3.0,48.0,106.3
39.2,9.0,1.0,59.0,131.7
3.6,3.0,3.0,49.0,58.7
23.2,2.0,3.0,29.0,91.8
29.0,1.0,5.0,55.0,125.8
12.8,8.0,5.0,60.0,108.3
31.0,1.0,1.0,27.0,94.8
36.6,7.0,3.0,52.0,136.4
38.9,3.0,5.0,16.0,132.4
32.0,6.0,4.0,52.0,130.6
29.4,10.0,4.0,53.0,126.5
25.4,3.0,5.0,49.0,113.1
15.1,8.0,5.0,9.0,97.9
,2.0,2.0,50.0,131.3
2.5,5.0,5.0,11.0,68.2
1.8,1.0,3.0,21.0,40.7
10.6,5.0,3.0,7.0,60.4
2.3,10.0,5.0,55.0,83.8
6.8,2.0,3.0,9.0,50.6
28.9,2.0,1.0,46.0,98.8
17.2,2.0,4.0,47.0,89.9
22.1,4.0,5.0,60.0,119.7
16.5,9.0,1.0,13.0,74.1
5.9,9.0,2.0,17.0,52.7
23.6,9.0,2.0,10.0,93.4
27.9,2.0,5.0,50.0,127.6
6.4,9.0,1.0,14.0,50.5
9.8,3.0,3.0,39.0,75.4
34.7,6.0,4.0,32.0,128.0
38.1,6.0,3.0,39.0,132.9
21.2,6.0,2.0,31.0,94.8
4.5,9.0,3.0,26.0,67.5
35.3,6.0,2.0,55.0,120.5
30.5,8.0,1.0,58.0,109.8
35.2,3.0,1.0,18.0,96.9
38.9,6.0,4.0,60.0,146.2
8.4,1.0,4.0,22.0,68.8
19.3,7.0,2.0,14.0,84.6
31.0,10.0,5.0,34.0,128.6
